freelancer_id,category,primary_skills,years_experience,experience_level,region,country,education,hourly_rate_usd,annual_income_usd,primary_platform
FL0001,AI/ML Engineering,"Computer Vision, TensorFlow, Data Science",1.6,junior,Middle East,Israel,Master,66.41,"$58,873.61",Direct Client
FL0002,Backend Development,"PHP, Ruby, Go",8.3,senior,Middle East,UAE,Bootcamp,112.79,"$108,183.05",Freelancer
FL0003,UI/UX Design,"Sketch, Wireframing, Adobe XD",3.6,mid,North America,US,Self-taught,94.21,"$88,681.22",Freelancer
FL0004,DevOps,"Kubernetes, Terraform, AWS",2.3,mid,North America,US,Self-taught,118.87,"$109,229.42",Upwork
FL0005,DevOps,"Azure, Docker, Kubernetes",8.8,senior,Latin America,Mexico,Self-taught,82.76,"$66,298.22",LinkedIn
FL0006,UI/UX Design,"Adobe XD, Figma, Wireframing",12.8,senior,Latin America,Brazil,Self-taught,58.91,"$58,312.95",Direct Client
FL0007,DevOps,"CI/CD, Terraform, Kubernetes",2.3,mid,North America,US,Master,131.91,"$139,912.28",Upwork
FL0008,Full Stack,"MongoDB, REST API, React",4.8,mid,Western Europe,Germany,Bachelor,125.75,"$114,757.64",LinkedIn
FL0009,DevOps,"CI/CD, Terraform, Docker",4.8,mid,Eastern Europe,Ukraine,Self-taught,58.37,"$49,020.74",Direct Client
FL0010,AI/ML Engineering,"PyTorch, NLP, Computer Vision",6.2,senior,North America,US,Bachelor,267.34,"$237,488.69",Upwork
FL0011,Cybersecurity,"Penetration Testing, Cryptography, Network Security",5.8,senior,Asia Pacific,Japan,Bachelor,152.25,"$161,072.14",Freelancer
FL0012,Mobile Development,"Android, React Native, iOS",4.9,mid,North America,Canada,Bachelor,93.84,"$78,037.18",Direct Client
FL0013,Data Engineering,"Python, Spark, BigQuery",6.9,senior,Asia Pacific,Japan,Bachelor,156.78,"$148,466.19",Fiverr
FL0014,DevOps,"Kubernetes, Azure, CI/CD",6.1,senior,Africa,South Africa,Self-taught,56.71,"$52,643.94",Upwork
FL0015,Cybersecurity,"Cryptography, Security Audit, Penetration Testing",5.9,senior,Latin America,Colombia,Bachelor,74.4,"$70,362.43",Direct Client
FL0016,Cybersecurity,"Cryptography, Network Security, Security Audit",10.5,senior,Eastern Europe,Romania,Self-taught,98.3,"$95,361.79",Fiverr
